id;start_date;end_date;language
1;2019-08-03T21:59:58;2019-08-03T15:08:15;ENGLISH
2;2019-08-03T23:30:04;2019-08-03T08:36:14;SPANISH
3;2019-08-03T19:02:08;2019-08-03T10:26:08;FRENCH
4;2019-08-03T08:13:59;2019-08-03T15:41:01;ENGLISH
5;2019-08-03T17:12:38;2019-08-03T21:56:47;ENGLISH
6;2019-08-03T23:29:39;2019-08-04T00:46:35;ENGLISH
7;2019-08-03T08:51:59;2019-08-03T21:32:46;SPANISH
8;2019-08-03T06:23:18;2019-08-03T14:23:27;ENGLISH
9;2019-08-03T16:11:24;2019-08-04T00:36:02;SPANISH
10;2019-08-03T19:29:33;2019-08-03T16:45:48;SPANISH
